label,text
0,i know i was listenin to bad habit earlier and i started freakin at his part =[ 
0,Layin n bed with a headache ughhhh waitin on your call 
1,wants to hang out with friends SOON! 
1,We want to trade with someone who has Houston tickets but no one will 
0,Re-pinging why didn't you go to prom? BC my bf didn't like my friends 
0,I should be sleep but im not! thinking about an old friend who I want but he's married now damn & he wants me 2! scandalous! 
0,Hmmm djhero com- is down 
0,Charlene my love I miss you 
0,I'm sorry at least it's Friday? 
0,Ugh! I have to beat this stupid song to get to the next rude! 
0,if u watch the hills in london u will realise what tourture it is because were weeks and weeks late i just watch itonlinelol 
0,The storm is here and the electricity is gone 
0,So sleepy again and it's not even that late I fail once again 
0,lady gaga tweeted about not being impressed by her video leaking just so you know 
0,How are YOU convinced that I have always wanted you? What signals did I give off damn I think I just lost another friend 
0,oh too bad! I hope it gets better I've been having sleep issues lately too 
1,Wondering why I'm awake at 7am writing a new song plotting my evil secret plots muahahaha oh damn it not secret anymore 
1,No Topic Maps talks at the Balisage Markup Conference 2009 Program online at im-mL6Z (via #topicmaps 
0,I ate Something I don't know what it is Why do I keep Telling things about food 
0,so tired and i think i'm definitely going to get an ear infection going to bed &quot;early&quot; for once 
0,On my way home n having 2 deal w underage girls drinking gin on da bus while talking bout keggers damn i feel old 
0,i'm sorry people are so rude to you isaac they should get some manners and know better than to be so lewd! 
0,Damm servers still down i need to hit 80 before all the koxpers pass me 
0,Fudge Just BS'd that whole paper So tired Ugh I hate school time to sleep!!!!!!!!!!! 
0,I HATE CANCER I HATE IT I HATE IT I HATE IT 
0,It is so annoying when she starts typing on her computer in the middle of the night! 
1,I missed the bl***y bus!!!!!!!! 
1,feels strong contractions but wants to go out com-p-wxidk 
1,SoCal! stoked or maybe not tomorrow 
1,Screw you I only have 3 weeks 
0,yeah :S i feel all funny cause i haven't slept enough i woke my mum up cause i was singing she's not impressed :S you? 
0,I need skott right now 
1,Aw you would not unfollow me would you? Then I would cry 
1,mmm much better day so far! it's still quite early last day of #uds 
1,<3 your gonna be the first twitter ;) cause your amazing lol come to canada would do anything to see you perform 
0,just picked up her Blackberry from the middle of the street! Both she and it are crushed! 
0,Why do I have the feeling I should be packing and hitting for SFO around this time of the year? I think I'm missing something 
0,middle school and elem High schools will remain open for those who need credits to graduate Cali is broken 
0,Bed!!!!! its time hope i go to school tomorrow all though i don't feel very well right now 
0,Ahh Well I was hoping that I could learn some stuff on the way Why not you and I work on separate things but also 
0,I'm having a problem with my photo here in twitter amf!!! can't see my face! 
1,oh noooo! if i blow a tire you're reaaaally going to have to send up some batman smoke 
1,Chocolate milk is so much better through a straw I lack said straw 
0,why am i so tired? 
0,hey yu lil fucker i textd yu 
1,time diff and i've just been wrapped up in day to day stuff so i havent been tweeting talk soon must sleep up in 6hrs 
1,no way! damn that sucks B! are you ok? 
0,sucks not being able to take days off of work or have the money to take the trip so sad 
1,bed sorta today was good sara has strep thought Angelina does to; i shared a water with her B4 they told me i will prob get it to 
1,the recession her hotel are restructuring how the accounts are done adds a bit more pressure in the short term but we'll cope 
1,But I got dibs on Sulu 
0,Aww Onward and upwards now yay! Still sad to leave I bet 
0,at once haha poor aby still gets sore! 
0,diesel yaris 70mpg so sad its not available in the US That'd be awesome 
0,I want to buy this great album but unfortunately i dont hav enuff funds its &quot;long time noisy&quot; 
0,in all honesty pain blech 
0,Ok the passengers no one is alive they're all dead you just don't know it til the end then you cry 
1,At home alone with not much to do 
0,ia so much! i haven't really been happy with any of cooks choices for singles 
0,i fell asleep on the beach and didn't put on enough sunscreen lol 
0,So i think my son might have the flu cause I def just cleaned up a stanky puke mess Poor pumkpin 
1,So great to see Oin & Cynthia So happy Dinner was great cute little place Too bad Oin got sick afterwards 
1,I cant give any bday nudges 
0,and all woman who transfer their first impressions (sexual-maternal) onto a less 'threatening' man -- are themselves as weak as 'Him' 
1,Brothers Bloom won't be opening this weekend in El Paso I'll just buy Brick and enjoy that until I can watch Brothers Bloom 
1,says I miss plurking com-p-wxion 
